event_date,employer,organization_firm,total_cost,groups_invited,category,target_committee
12/04/25,American Council of Engineering Companies/MD,Providence Strategies,31059.74,"House Environment and Transportation Committee; Senate Education, Energy, and the Environment Committee (formerly Senate Education Health and Environmental Affairs Committee)",Other Interest,Both
12/08/25,Maryland Farm Bureau,Maryland Farm Bureau,30800.0,"House Environment and Transportation Committee; Lower Eastern Shore Delegation; Senate Education, Energy, and the Environment Committee (formerly Senate Education Health and Environmental Affairs Committee); Upper Eastern Shore Delegation",Other Interest,Both
02/03/26,Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,15856.49,"House Economic Matters Committee; House Environment and Transportation Committee; House Government, Labor, and Elections (formerly House Health and Government Operations Committee)",Other Interest,House ENT
02/25/26,Washington Gas,PerryJacobson,15003.75,"House Economic Matters Committee; Senate Education, Energy, and the Environment Committee (formerly Senate Education Health and Environmental Affairs Committee)",Traditional Utility,Senate EEE
01/27/26,Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,8357.47,"Senate Budget and Taxation Committee; Senate Education, Energy, and the Environment Committee (formerly Senate Education Health and Environmental Affairs Committee)",Other Interest,Senate EEE
02/17/26,Constellation,"Capitol Strategies, LLC",8130.51,"Senate Education, Energy, and the Environment Committee (formerly Senate Education Health and Environmental Affairs Committee)",Traditional Utility,Senate EEE
01/27/26,Constellation,"Capitol Strategies, LLC",7000.0,House Environment and Transportation Committee,Traditional Utility,House ENT
02/10/26,Maryland Transportation Builders and Materials Association,"Evans & Associates, LLC",6802.61,House Environment and Transportation Committee,Other Interest,House ENT
01/29/26,"Choptank Electric Cooperative, Inc.",Choptank Electric Cooperative,6110.47,"House Environment and Transportation Committee; Senate Education, Energy, and the Environment Committee (formerly Senate Education Health and Environmental Affairs Committee)",Traditional Utility,Both
01/21/26,"Uber Technologies, Inc.","Compass Government Relations Partners, LLC",5943.55,House Environment and Transportation Committee; Senate Finance Committee,Other Interest,House ENT
02/18/26,"Pepco Holdings, LLC.","Pepco Holdings, LLC",5625.61,House Environment and Transportation Committee,Traditional Utility,House ENT
02/24/26,Mid-Atlantic Renewable Energy Coalition Action (MAREC Action),"Compass Government Relations Partners, LLC",5572.1,House Environment and Transportation Committee,Renewable Energy,House ENT
02/12/26,Baltimore Gas and Electric Company,Baltimore Gas and Electric,5480.39,House Environment and Transportation Committee,Traditional Utility,House ENT
02/04/26,Chesapeake Solar & Storage Association (CHESSA),"Compass Government Relations Partners, LLC",5283.4,House Environment and Transportation Committee,Renewable Energy,House ENT
03/04/26,"Lifebridge Health, Inc.",LifeBridge Health,5181.17,"House Appropriations Committee; House Economic Matters Committee; House Judiciary Committee; House Rules and Executive Nominations Committee; House Ways and Means Committee; Senate Budget and Taxation Committee; Senate Education, Energy, and the Environment Committee (formerly Senate Education Health and Environmental Affairs Committee); Senate Finance Committee; Senate Judicial Proceedings Committee; Senate Rules Committee; House Health Committee",Other Interest,Senate EEE
02/26/26,"Maryland - American Water Company, Inc.","Compass Government Relations Partners, LLC",5082.76,House Environment and Transportation Committee; Senate Finance Committee,Other Interest,House ENT
02/11/26,Retail Energy Supply Association,"Percy Public Affairs, LLC",4909.15,House Environment and Transportation Committee,Other Interest,House ENT
03/11/26,Maryland Chamber of Commerce,Maryland Chamber of Commerce,4644.56,House Environment and Transportation Committee,Other Interest,House ENT
01/28/26,"G.S. Proctor & Associates, Inc.","G.S. Proctor & Associates, Inc. ",4634.93,"Senate Education, Energy, and the Environment Committee (formerly Senate Education Health and Environmental Affairs Committee)",Other Interest,Senate EEE
02/17/26,Coalition for High Performance Recycling,Bellamy Genn Group LLC,4312.81,House Environment and Transportation Committee,Other Interest,House ENT
02/10/26,Maryland Tech Council,"Schwartz, Metz, Wise & Kauffman, P.A.",4233.66,"House Economic Matters Committee; Senate Education, Energy, and the Environment Committee (formerly Senate Education Health and Environmental Affairs Committee)",Other Interest,Senate EEE
02/03/26,Kress Hammen Government Affairs,Kress Hammen Government Affairs,4000.0,"Senate Education, Energy, and the Environment Committee (formerly Senate Education Health and Environmental Affairs Committee)",Other Interest,Senate EEE
03/05/26,Chaberton Energy,"Funk & Bolton, P.A.",3917.98,House Environment and Transportation Committee,Renewable Energy,House ENT
02/12/26,Chesapeake Solar & Storage Association (CHESSA),"Compass Government Relations Partners, LLC",3868.35,"Senate Education, Energy, and the Environment Committee (formerly Senate Education Health and Environmental Affairs Committee)",Renewable Energy,Senate EEE
02/18/26,Mid-Atlantic Renewable Energy Coalition Action (MAREC Action),"Compass Government Relations Partners, LLC",3759.33,"Senate Education, Energy, and the Environment Committee (formerly Senate Education Health and Environmental Affairs Committee)",Renewable Energy,Senate EEE
03/10/26,"Coalition for Community Solar Access, Inc.","Compass Government Relations Partners, LLC",3677.24,House Environment and Transportation Committee,Renewable Energy,House ENT
02/05/26,"Mechanical Contractors Association of Maryland, Inc.",Cornerstone Government Affairs,3362.4,"House Appropriations Committee; House Economic Matters Committee; House Environment and Transportation Committee; Senate Budget and Taxation Committee; Senate Finance Committee; House Government, Labor, and Elections (formerly House Health and Government Operations Committee)",Other Interest,House ENT
01/22/26,Delmarva Chicken Association,Delmarva Chicken Association,3335.37,House Environment and Transportation Committee,Other Interest,House ENT
01/22/26,Retail Energy Supply Association,"Percy Public Affairs, LLC",3105.96,"Senate Education, Energy, and the Environment Committee (formerly Senate Education Health and Environmental Affairs Committee)",Other Interest,Senate EEE
02/05/26,"Coalition for Community Solar Access, Inc.","Compass Government Relations Partners, LLC",3000.92,"Senate Education, Energy, and the Environment Committee (formerly Senate Education Health and Environmental Affairs Committee)",Renewable Energy,Senate EEE
02/24/26,"Pepco Holdings, LLC.","Pepco Holdings, LLC",2890.17,"Senate Education, Energy, and the Environment Committee (formerly Senate Education Health and Environmental Affairs Committee)",Traditional Utility,Senate EEE
03/04/26,Baltimore Gas and Electric Company,Baltimore Gas and Electric,2588.9,"Senate Education, Energy, and the Environment Committee (formerly Senate Education Health and Environmental Affairs Committee)",Traditional Utility,Senate EEE
02/19/26,"Nature Conservancy, The",The Nature Conservancy,2320.31,"House Environment and Transportation Committee; Senate Budget and Taxation Committee; Senate Education, Energy, and the Environment Committee (formerly Senate Education Health and Environmental Affairs Committee)",Other Interest,Both
01/20/26,Chesapeake Utilities Corporation,Chesapeake Utilities Corporation,2312.59,"Senate Education, Energy, and the Environment Committee (formerly Senate Education Health and Environmental Affairs Committee)",Traditional Utility,Senate EEE
03/03/26,Delmarva Chicken Association,Delmarva Chicken Association,2198.5,"Senate Education, Energy, and the Environment Committee (formerly Senate Education Health and Environmental Affairs Committee)",Other Interest,Senate EEE
